sample_id,in_bam_dir,in_sample_list,mismatch
SAMN14236664,True,True,False
SAMN14236665,True,True,False
SAMN14236669,True,True,False
SAMN14236671,True,True,False
SAMN14327705,False,True,True
SAMN14327777,False,True,True
SAMN14328091,False,True,True
SAMN29477816,False,True,True
SAMN29477825,False,True,True
SAMN29477844,False,True,True
SAMN29477922,False,True,True
SAMN29477923,False,True,True
SAMN31562364,False,True,True
SAMN37746639,True,True,False
SAMN37746640,True,True,False
SAMN37746641,False,True,True
SAMN37746642,True,True,False
SAMN37746643,True,True,False
SAMN37746647,True,True,False
SAMN37746648,True,True,False
SAMN37746649,True,True,False
SAMN37746651,True,True,False
SAMN37746652,True,True,False
SAMN37746653,True,True,False
SAMN37746654,True,True,False
SAMN37746655,True,True,False
SAMN37746656,True,True,False
SAMN37746657,True,True,False
SAMN37746658,True,True,False
SAMN37746659,True,True,False
SAMN37746660,True,True,False
SAMN37746661,True,True,False
SAMN37746662,True,True,False
SAMN37746663,True,True,False
SAMN37746664,True,True,False
SAMN37746667,True,True,False
SAMN37746674,True,True,False
SAMN37746678,False,True,True
SAMN37746679,True,True,False
SAMN37746681,False,True,True
SAMN37746682,True,True,False
SAMN37746684,False,True,True
SAMN37746688,False,True,True
SAMN37746689,True,True,False
SAMN37746690,True,True,False
SAMN37746691,True,True,False
SAMN37746692,True,True,False
SAMN37746693,True,True,False
SAMN37746694,True,True,False
SAMN37746695,True,True,False
SAMN37746696,False,True,True
SAMN37746697,False,True,True
SAMN37746698,False,True,True
SAMN37746699,True,True,False
SAMN37746700,False,True,True
SAMN37746701,True,True,False
SAMN37746702,False,True,True
SAMN37746704,True,True,False
SAMN37746709,True,True,False
SAMN37746711,True,True,False
SAMN37746712,True,True,False
SAMN37746715,True,True,False
SAMN37746716,True,True,False
SAMN37746717,False,True,True
SAMN37746723,True,True,False
SAMN37746724,True,True,False
SAMN47003698,False,True,True
SAMN47003699,False,True,True
