sample_id,in_bam_dir,in_sample_list,mismatch
SAMEA3670207,True,True,False
SAMEA3670208,True,True,False
SAMEA3670209,True,True,False
SAMEA3670210,True,True,False
SAMEA3670211,True,True,False
SAMEA3670212,True,True,False
SAMEA3670213,True,True,False
SAMEA3670214,True,True,False
SAMEA3670215,True,True,False
SAMEA3670216,True,True,False
SAMEA3670217,True,True,False
SAMEA3670218,True,True,False
SAMEA3670219,True,True,False
SAMEA3670220,True,True,False
SAMEA3670221,True,True,False
SAMEA3670222,True,True,False
SAMEA3670223,True,True,False
SAMEA3670224,True,True,False
SAMEA3670225,True,True,False
SAMEA3670227,True,True,False
SAMEA3670229,True,True,False
SAMEA3670230,True,True,False
SAMEA3670231,True,True,False
SAMEA3670232,True,True,False
SAMEA3670234,True,True,False
SAMEA3670237,True,True,False
SAMEA3670238,True,True,False
SAMEA6379809,True,True,False
SAMEA6379810,True,True,False
SAMEA6379811,True,True,False
SAMN25078456,True,True,False
SAMN25078457,True,True,False
SAMN25078458,True,True,False
SAMN25078459,True,True,False
SAMN25078460,True,True,False
SAMN25078461,True,True,False
SAMN25078462,True,True,False
SAMN25078463,True,True,False
SAMN25078464,True,True,False
SAMN25078465,True,True,False
SAMN25078466,True,True,False
SAMN25078467,True,True,False
SAMN25078468,True,True,False
SAMN25078469,True,True,False
SAMN25078470,True,True,False
SAMN25078471,True,True,False
SAMN25078472,True,True,False
SAMN25078473,True,True,False
SAMN25078474,True,True,False
SAMN25078475,True,True,False
SAMN25078476,True,True,False
SAMN25078477,True,True,False
SAMN25078478,True,True,False
SAMN25078479,True,True,False
SAMN25078480,True,True,False
SAMN25078481,True,True,False
SAMN25078482,True,True,False
SAMN25078483,True,True,False
SAMN25078484,True,True,False
SAMN25078485,True,True,False
SAMN25078486,True,True,False
SAMN25078487,True,True,False
SAMN25078488,True,True,False
SAMN25078489,True,True,False
SAMN25078490,True,True,False
SAMN25078491,True,True,False
SAMN25078492,True,True,False
SAMN25078493,True,True,False
SAMN25078494,True,True,False
SAMN25078495,True,True,False
SAMN25078496,True,True,False
SAMN25078497,True,True,False
SAMN25078498,True,True,False
SAMN25078499,True,True,False
SAMN25078500,True,True,False
SAMN25078501,True,True,False
SAMN39328740,True,True,False
SAMN39328741,True,True,False
SAMN39328742,True,True,False
SAMN39328743,True,True,False
SAMN39328744,True,True,False
SAMN39328745,True,True,False
SAMN39328746,True,True,False
SAMN39328747,True,True,False
SAMN39328748,True,True,False
SAMN39328749,True,True,False
SAMN39328750,True,True,False
SAMN39328751,True,True,False
SAMN39328752,True,True,False
SAMN39328753,True,True,False
SAMN39328754,True,True,False
SAMN39328755,True,True,False
SAMN39328756,True,True,False
SAMN39328757,True,True,False
SAMN39328758,True,True,False
SAMN39328759,True,True,False
SAMN39328760,True,True,False
SAMN39328761,True,True,False
SAMN39328762,True,True,False
SAMN39328763,True,True,False
SAMN39328764,True,True,False
SAMN39328765,True,True,False
SAMN39328766,True,True,False
SAMN39328767,True,True,False
SAMN39328768,True,True,False
SAMN39328769,True,True,False
SAMN39328770,True,True,False
SAMN39328771,True,True,False
SAMN39328772,True,True,False
SAMN39328773,True,True,False
SAMN39328774,True,True,False
SAMN39328775,True,True,False
SAMN39328776,True,True,False
SAMN39328777,True,True,False
SAMN39328778,True,True,False
SAMN39328779,True,True,False
SAMN39328780,True,True,False
SAMN39328781,True,True,False
SAMN39328782,True,True,False
SAMN39328783,True,True,False
SAMN39328784,True,True,False
SAMN39328785,True,True,False
SAMN39328786,True,True,False
SAMN39328787,True,True,False
SAMN39328788,True,True,False
SAMN39328789,True,True,False
SAMN39328790,True,True,False
SAMN39328791,True,True,False
SAMN39328792,True,True,False
SAMN39328793,True,True,False
SAMN39328794,True,True,False
SAMN39328795,True,True,False
SAMN39328796,True,True,False
SAMN39328797,True,True,False
SAMN39328798,True,True,False
SAMN39328799,True,True,False
SAMN39328800,True,True,False
SAMN39328801,True,True,False
SAMN39328802,True,True,False
SAMN39328803,True,True,False
SAMN39328804,True,True,False
SAMN39328805,True,True,False
SAMN39328806,True,True,False
SAMN39328807,True,True,False
SAMN39328808,True,True,False
SAMN39328809,True,True,False
SAMN39328810,True,True,False
SAMN39328811,True,True,False
SAMN39328812,True,True,False
SAMN39328813,True,True,False
SAMN39328814,True,True,False
SAMN39328815,True,True,False
SAMN39328816,True,True,False
SAMN39328817,True,True,False
SAMN39328818,True,True,False
SAMN39328819,True,True,False
SAMN39328820,True,True,False
SAMN39328821,True,True,False
SAMN39328822,True,True,False
SAMN39328823,True,True,False
SAMN39328824,True,True,False
SAMN39328825,True,True,False
SAMN39328826,True,True,False
SAMN39328827,True,True,False
SAMN39328828,True,True,False
SAMN39328829,True,True,False
SAMN39328830,True,True,False
SAMN39328831,True,True,False
SAMN39328832,True,True,False
SAMN39328833,True,True,False
SAMN39328834,True,True,False
SAMN39328835,True,True,False
SAMN39328836,True,True,False
SAMN39328837,True,True,False
SAMN39328838,True,True,False
SAMN39328839,True,True,False
SAMN39328840,True,True,False
SAMN39328841,True,True,False
SAMN39328842,True,True,False
SAMN39328843,True,True,False
SAMN39328844,True,True,False
SAMN39328845,True,True,False
SAMN39328846,True,True,False
SAMN39328847,True,True,False
SAMN39328848,True,True,False
SAMN39328849,True,True,False
SAMN39328850,True,True,False
SAMN39328851,True,True,False
SAMN39328852,True,True,False
SAMN39328853,True,True,False
SAMN39328854,True,True,False
SAMN39328855,True,True,False
SAMN39328856,True,True,False
SAMN39328857,True,True,False
SAMN39328858,True,True,False
SAMN39328859,True,True,False
SAMN39328860,True,True,False
SAMN39328861,True,True,False
SAMN39328862,True,True,False
SAMN39328863,True,True,False
SAMN39328864,True,True,False
SAMN39328865,True,True,False
SAMN39328866,True,True,False
SAMN39328867,True,True,False
SAMN39328868,True,True,False
SAMN39328869,True,True,False
SAMN39328870,True,True,False
SAMN39328871,True,True,False
SAMN39328872,True,True,False
SAMN39328873,True,True,False
SAMN39328874,True,True,False
SAMN39328875,True,True,False
SAMN39328876,True,True,False
